z_x1,z_x2,z_note,x_x1,x_x2,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","Var[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","Var[p(y|x,u=0,z,D)]","Var[p(y|x,u=1,z,D)]","H[p(y|x,D)]","Var[p(y|x,D)]",Va,Ve,Va_variance,Ve_variance,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
-0.85,0.19,x1 = -0.85; x2 = 0.19,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.93948685301458,0.06051314698541993,0.048660558983420435,0.9513394410165796,0.07303504157405385,0.9269649584259462,0.05013553563112099,0.949864464368879,0.32948,0.05685,0.28068,0.37715,0.04629,0.0677,0.23795,0.03753,0.28652,-0.04857,0.04759,-0.01006,0.0013899676100949977,0.0015047212179781552,149540
1.39,0.21,x1 = 1.39; x2 = 0.21,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.6688855958223245,0.33111440417767535,0.06547001289622631,0.9345299871037739,0.05459305575211865,0.9454069442478815,0.061868495712188984,0.9381315042878111,0.91606,0.22148,0.34879,0.3056,0.06118,0.05161,0.23795,0.03753,0.33449,-0.09654000000000001,0.05801,-0.020479999999999998,0.0051206748995671104,0.005920066008951629,149570
-1.05,0.76,x1 = -1.05; x2 = 0.76,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.8927584936698507,0.10724150633014935,0.05191672725378994,0.9480832727462101,0.0720623481053108,0.9279376518946891,0.054077173979863113,0.9459228260201369,0.49154,0.09574,0.29448,0.37357,0.04922,0.06687,0.23795,0.03753,0.30296,-0.06501000000000001,0.05111,-0.013580000000000002,0.0024299333929091275,0.0026938798138765475,149600
-1.0,0.74,x1 = -1.0; x2 = 0.74,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.8712729325543436,0.12872706744565637,0.05064557618225174,0.9493544238177481,0.06361214030849803,0.9363878596915021,0.05231472395706947,0.9476852760429304,0.55394,0.11216,0.28913,0.34162,0.04808,0.05957,0.23795,0.03753,0.29589,-0.05793999999999999,0.04956,-0.012029999999999999,0.001935301406590078,0.002123323365482939,149630
0.46,-0.18,x1 = 0.46; x2 = -0.18,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.16140793290569005,0.8385920670943099,0.0690040561361544,0.9309959438638454,0.04816033753914416,0.9518396624608559,0.05152467907195547,0.9484753209280445,0.63767,0.13536,0.3622,0.27853,0.06424,0.04584,0.23795,0.03753,0.29204,-0.05409000000000003,0.04881,-0.011279999999999998,0.001728871756561447,0.0018877839979200613,149660
1.09,1.12,x1 = 1.09; x2 = 1.12,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.6977734081895004,0.30222659181049966,0.07983854852262479,0.920161451477375,0.062014527061948176,0.9379854729380519,0.0744516552642073,0.9255483447357927,0.884,0.21089,0.40161,0.33539,0.07346,0.05817,0.23795,0.03753,0.3816,-0.14365,0.06884,-0.03131,0.010865994952122301,0.013295892479771435,149690
-0.28,0.28,x1 = -0.28; x2 = 0.28,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.21734886622578195,0.7826511337742181,0.059238606404899044,0.940761393595101,0.05738963956637914,0.9426103604336209,0.05779151041242051,0.9422084895875796,0.7553,0.17011,0.32442,0.31699,0.05573,0.0541,0.23795,0.03753,0.3186,-0.08065,0.05445,-0.016919999999999998,0.003616109759564178,0.004093012145625907,149720
0.15,1.3,x1 = 0.15; x2 = 1.3,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.8791471102404571,0.12085288975954275,0.05119863960393799,0.9488013603960619,0.06007731447344815,0.9399226855265519,0.052271653119153716,0.9477283468808461,0.53181,0.10625,0.29147,0.32775,0.04858,0.05647,0.23795,0.03753,0.29585,-0.05790000000000001,0.04953,-0.011999999999999997,0.0019237982554537215,0.002110156370477378,149750
1.15,-0.78,x1 = 1.15; x2 = -0.78,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.10961069245734997,0.8903893075426501,0.14426580969794883,0.8557341903020511,0.045881491824903815,0.9541185081750962,0.056665465033912316,0.9433345349660878,0.49874,0.0976,0.5953,0.26864,0.12345,0.04378,0.23795,0.03753,0.30445,-0.0665,0.05251,-0.01498,0.0032368891306073892,0.0036413593519616858,149780
-0.6,-0.06,x1 = -0.6; x2 = -0.06,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.8928163428249982,0.10718365717500171,0.051275114528803456,0.9487248854711965,0.06519558166222003,0.9348044183377799,0.05276716110574745,0.9472328388942524,0.49136,0.0957,0.29179,0.34773,0.04865,0.06095,0.23795,0.03753,0.29779,-0.059840000000000004,0.04997,-0.01244,0.002057847493075129,0.0022638913232898104,149810
-0.68,-0.18,x1 = -0.68; x2 = -0.18,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.9146057300498052,0.08539426995019461,0.053037275769361694,0.9469627242306382,0.06870714671116004,0.9312928532888399,0.05437539295865032,0.9456246070413493,0.42091,0.0781,0.29916,0.36108,0.05022,0.06399,0.23795,0.03753,0.30445,-0.0665,0.0514,-0.01387,0.002518138081678431,0.0027964807968522028,149840
1.0,0.72,x1 = 1.0; x2 = 0.72,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.8294762653641568,0.17052373463584314,0.055919332214570294,0.9440806677854298,0.060885466895155935,0.9391145331048442,0.05676617604700833,0.9432338239529916,0.6589,0.14145,0.31103,0.33095,0.05279,0.05718,0.23795,0.03753,0.31443,-0.07647999999999999,0.05354,-0.016009999999999996,0.003270130887651341,0.003680794775975809,149870
-0.4,0.28,x1 = -0.4; x2 = 0.28,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.3432437056685068,0.6567562943314933,0.05705928035242902,0.942940719647571,0.05665389957552704,0.943346100424473,0.05679304397559766,0.9432069560244024,0.92789,0.22543,0.31566,0.31402,0.0538,0.05344,0.23795,0.03753,0.31458,-0.07663000000000003,0.05356,-0.016030000000000003,0.0032790218467355758,0.003691347476349187,149900
-0.91,0.87,x1 = -0.91; x2 = 0.87,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.9372376350007956,0.06276236499920441,0.04829487935985703,0.951705120640143,0.07112914315555786,0.9288708568444421,0.04972801175869093,0.9502719882413091,0.33831,0.05882,0.27911,0.37012,0.04596,0.06607,0.23795,0.03753,0.28482,-0.04687000000000002,0.04722,-0.009689999999999997,0.0012965517047052177,0.0013999852855480048,149930
0.76,0.02,x1 = 0.76; x2 = 0.02,1.7,-0.5,x1 = 1.7; x2 = -0.5,0.03905731225942972,0.9609426877405702,0.8588139247062687,0.1411860752937313,0.052808910620667684,0.9471910893793322,0.06619965009549836,0.9338003499045018,0.054699496572399864,0.9453005034276001,0.58734,0.12125,0.29821,0.35158,0.05002,0.06182,0.23795,0.03753,0.30575,-0.06780000000000003,0.05169,-0.014159999999999999,0.0026154388776580273,0.0029099483154237087,149960
