x1,x2,label,note
-1.75,0.57,0,x1 = -1.75; x2 = 0.57
-0.16,-0.21,1,x1 = -0.16; x2 = -0.21
0.4,-0.05,1,x1 = 0.4; x2 = -0.05
-0.94,0.83,0,x1 = -0.94; x2 = 0.83
1.68,-0.35,1,x1 = 1.68; x2 = -0.35
0.37,1.64,0,x1 = 0.37; x2 = 1.64
-0.61,-0.17,0,x1 = -0.61; x2 = -0.17
1.76,-0.09,1,x1 = 1.76; x2 = -0.09
0.14,-0.04,1,x1 = 0.14; x2 = -0.04
-1.18,-0.83,0,x1 = -1.18; x2 = -0.83
0.7,0.27,1,x1 = 0.7; x2 = 0.27
-0.04,0.18,1,x1 = -0.04; x2 = 0.18
1.47,-0.5,1,x1 = 1.47; x2 = -0.5
-0.08,0.86,0,x1 = -0.08; x2 = 0.86
-0.31,0.31,1,x1 = -0.31; x2 = 0.31
-1.16,0.98,0,x1 = -1.16; x2 = 0.98
-0.41,0.08,0,x1 = -0.41; x2 = 0.08
1.31,0.62,0,x1 = 1.31; x2 = 0.62
1.08,-1.12,1,x1 = 1.08; x2 = -1.12
0.89,0.57,0,x1 = 0.89; x2 = 0.57
1.36,-0.71,1,x1 = 1.36; x2 = -0.71
0.88,-0.09,1,x1 = 0.88; x2 = -0.09
-0.49,1.57,0,x1 = -0.49; x2 = 1.57
0.75,-0.42,1,x1 = 0.75; x2 = -0.42
-0.82,1.17,0,x1 = -0.82; x2 = 1.17
2.02,0.73,1,x1 = 2.02; x2 = 0.73
-0.42,0.37,1,x1 = -0.42; x2 = 0.37
0.49,1.09,0,x1 = 0.49; x2 = 1.09
1.39,0.0,1,x1 = 1.39; x2 = 0.0
1.7,-1.14,1,x1 = 1.7; x2 = -1.14
0.38,1.36,0,x1 = 0.38; x2 = 1.36
0.24,0.71,0,x1 = 0.24; x2 = 0.71
1.23,-0.0,1,x1 = 1.23; x2 = -0.0
1.02,0.13,0,x1 = 1.02; x2 = 0.13
0.34,0.19,0,x1 = 0.34; x2 = 0.19
1.73,0.17,1,x1 = 1.73; x2 = 0.17
0.01,-0.28,1,x1 = 0.01; x2 = -0.28
1.01,0.78,0,x1 = 1.01; x2 = 0.78
0.9,1.42,0,x1 = 0.9; x2 = 1.42
1.0,0.21,0,x1 = 1.0; x2 = 0.21
1.24,-0.96,1,x1 = 1.24; x2 = -0.96
-1.21,0.28,0,x1 = -1.21; x2 = 0.28
0.65,0.39,0,x1 = 0.65; x2 = 0.39
0.73,0.23,1,x1 = 0.73; x2 = 0.23
-0.35,-0.0,0,x1 = -0.35; x2 = -0.0
-0.46,0.68,1,x1 = -0.46; x2 = 0.68
0.8,0.2,0,x1 = 0.8; x2 = 0.2
1.36,-0.06,1,x1 = 1.36; x2 = -0.06
0.75,0.88,0,x1 = 0.75; x2 = 0.88
-1.57,0.21,0,x1 = -1.57; x2 = 0.21
