SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,label,note
5.8,2.7,4.1,1.0,1,"SepalLengthCm = 5.8, SepalWidthCm = 2.7, PetalLengthCm = 4.1, PetalWidthCm = 1.0"
7.2,3.6,6.1,2.5,2,"SepalLengthCm = 7.2, SepalWidthCm = 3.6, PetalLengthCm = 6.1, PetalWidthCm = 2.5"
5.4,3.0,4.5,1.5,1,"SepalLengthCm = 5.4, SepalWidthCm = 3.0, PetalLengthCm = 4.5, PetalWidthCm = 1.5"
5.1,2.5,3.0,1.1,1,"SepalLengthCm = 5.1, SepalWidthCm = 2.5, PetalLengthCm = 3.0, PetalWidthCm = 1.1"
5.7,2.8,4.5,1.3,1,"SepalLengthCm = 5.7, SepalWidthCm = 2.8, PetalLengthCm = 4.5, PetalWidthCm = 1.3"
5.6,3.0,4.5,1.5,1,"SepalLengthCm = 5.6, SepalWidthCm = 3.0, PetalLengthCm = 4.5, PetalWidthCm = 1.5"
6.0,2.9,4.5,1.5,1,"SepalLengthCm = 6.0, SepalWidthCm = 2.9, PetalLengthCm = 4.5, PetalWidthCm = 1.5"
4.9,2.4,3.3,1.0,1,"SepalLengthCm = 4.9, SepalWidthCm = 2.4, PetalLengthCm = 3.3, PetalWidthCm = 1.0"
6.7,3.1,5.6,2.4,2,"SepalLengthCm = 6.7, SepalWidthCm = 3.1, PetalLengthCm = 5.6, PetalWidthCm = 2.4"
4.9,2.5,4.5,1.7,2,"SepalLengthCm = 4.9, SepalWidthCm = 2.5, PetalLengthCm = 4.5, PetalWidthCm = 1.7"
6.2,3.4,5.4,2.3,2,"SepalLengthCm = 6.2, SepalWidthCm = 3.4, PetalLengthCm = 5.4, PetalWidthCm = 2.3"
5.1,3.4,1.5,0.2,0,"SepalLengthCm = 5.1, SepalWidthCm = 3.4, PetalLengthCm = 1.5, PetalWidthCm = 0.2"
6.5,3.0,5.2,2.0,2,"SepalLengthCm = 6.5, SepalWidthCm = 3.0, PetalLengthCm = 5.2, PetalWidthCm = 2.0"
6.0,2.7,5.1,1.6,1,"SepalLengthCm = 6.0, SepalWidthCm = 2.7, PetalLengthCm = 5.1, PetalWidthCm = 1.6"
6.1,2.8,4.7,1.2,1,"SepalLengthCm = 6.1, SepalWidthCm = 2.8, PetalLengthCm = 4.7, PetalWidthCm = 1.2"
