x_note,TU,Va,Ve,true_label,pred_label
"SepalLengthCm = 4.9, SepalWidthCm = 3.1, PetalLengthCm = 1.5, PetalWidthCm = 0.1",0.03471,0.02246816391564634,0.012241836084353658,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 3.4, PetalLengthCm = 1.5, PetalWidthCm = 0.2",0.03334,0.04852193135853773,-0.01518193135853773,0,0
"SepalLengthCm = 7.1, SepalWidthCm = 3.0, PetalLengthCm = 5.9, PetalWidthCm = 2.1",0.1497,0.3190071764428261,-0.1693071764428261,2,2
"SepalLengthCm = 5.0, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.3",0.04099,0.03855106481986762,0.0024389351801323775,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 2.2, PetalLengthCm = 5.0, PetalWidthCm = 1.5",0.99835,1.0273835828038156,-0.029033582803815627,2,2
"SepalLengthCm = 5.1, SepalWidthCm = 3.8, PetalLengthCm = 1.6, PetalWidthCm = 0.2",0.0501,0.05449832685302375,-0.00439832685302375,0,0
"SepalLengthCm = 6.0, SepalWidthCm = 3.4, PetalLengthCm = 4.5, PetalWidthCm = 1.6",0.59937,0.6990778367922893,-0.09970783679228934,1,1
"SepalLengthCm = 5.7, SepalWidthCm = 3.0, PetalLengthCm = 4.2, PetalWidthCm = 1.2",0.20283,0.48865242268291925,-0.28582242268291924,1,1
"SepalLengthCm = 5.5, SepalWidthCm = 3.5, PetalLengthCm = 1.3, PetalWidthCm = 0.2",0.04713,0.04204278514638621,0.00508721485361379,0,0
"SepalLengthCm = 5.0, SepalWidthCm = 2.3, PetalLengthCm = 3.3, PetalWidthCm = 1.0",0.10563,0.33027011735166334,-0.22464011735166334,1,1
